Hospital_Name,Location,Doctor_Name,Doctor_Specialization,Doctor_Timings,Doctor_Fees,Doctor_Rating
Dr's Mind Centre,Kandivali West,Ms. Meenal Mishra,Clinical Psychologist,Mon-Sat10:00 AM-06:00 PM,700,4.5
Apollo Spectra Hospitals,Chembur,Dr. Mukund Jaganathan,Plastic Surgeon,Mon-Sat04:00 PM-06:30 PM,"1,000",4.5
Dr. Inamdar's Dental Studio,Kurla West,Dr. Aslam Inamdar,Dentist,"Mon-Tue, Thu02:30 PM-05:30 PM",200,4.5
Dr. Jonwal's Niramay Ayush Panchkarm Health Institute & Research Hospital,Kandivali West,Dr. Laxman G. Jonwal,Consultant Physician,"Mon-Sat09:00 AM-12:10 PM, 04:00 PM-07:10 PM",800,4
Exercise Clinic,Andheri West,Dr. Varun Shanbhag   (Physiotherapist),Physiotherapist,Mon-Sat07:00 PM-09:00 PM,600,5
The Childrens Hospital Mumbai,Malad West,Dr. Pankaj Shroff,Pediatric Surgeon,Wed12:00 PM-02:00 PM,"2,000",4
Bafna Polyclinic,Cumballa Hill,Dr. Raashi Mehta,Dermatologist,"Tue, Thu, Sat05:00 PM-07:00 PM","1,000",4.5
Surana Sethia Hospital and Research Center,Chembur,Dr. Gautam Nadkarni,General Surgeon,Mon-Sat09:00 AM-10:00 AM,"1,000",4.5
Apollo Spectra Hospitals,Chembur,Dr. Ravindra Hodarkar,Urologist,Mon-Fri08:30 PM-09:00 PM,"1,000",4.5
Mehta Eye Clinic,Ghatkopar East,Dr. Vinod C Mehta,Ophthalmologist/ Eye Surgeon,"Mon, Wed, Fri03:00 PM-07:00 PMTue09:00 AM-12:30 PM, 03:00 PM-07:00 PMThu, Sat09:00 AM-12:30 PMshow more","1,000",5
Sahastram Ayurveda Panchkarma Center,Dadar East,Dr. Rajshree Chavan,Sexologist (Ayurveda),"Mon-Fri11:45 AM-03:00 PM, 06:25 PM-08:30 PMSat11:45 AM-03:00 PM, 06:30 PM-08:30 PMSun11:45 AM-02:30 PMshow more",500,4.5
Lifeforce Homeopathy Clinic,Chembur,Dr. Neetu Jetwani,Homoeopath,Mon-Sat10:00 AM-06:00 PM,500,4.5
Eye Solutions - The complete eye hospital,Tardeo,Dr. Deepak Garg,Ophthalmologist/ Eye Surgeon,Mon-Fri03:00 PM-05:45 PMSat03:00 PM-04:00 PMshow more,"1,000",5
RD Smita Nanda Nutrition Consultant,Kandivali East,"Ms. Smita Nanda, RD",Dietitian/Nutritionist,"Mon-Sun10:30 AM-01:00 PM, 04:00 PM-07:00 PM","1,200",5
Dr L H Hiranandani Hospital,Powai,Dr. Ganesh Kumar A.V,Cardiologist,"Mon-Fri08:20 AM-09:50 AM, 11:30 AM-12:20 PMSat08:20 AM-11:55 AMshow more","1,800",3.5
Dr. Sana Bhamla Khan - KYSHHA Skin and Hair Clinic,Mumbai Central,Dr. Sana Bhamla Khan,Dermatologist,"Mon, Wed, Fri12:00 PM-02:00 PM, 03:00 PM-08:00 PMThu05:00 PM-08:00 PMshow more","1,000",5
Fortis Hospital,Mulund West,Dr. Suresh Vijan,Cardiologist,"Wed, Sat12:00 PM-02:00 PM","1,500",4
Lifeforce Homeopathy Clinic,Chembur,Dr. Rajesh Shah,Homoeopath,Mon-Sat10:00 AM-04:00 PM,"3,000",4.5
Jupiter Hospital Speciality Clinic,Mulund West,Dr. Ashlesha B Chaudhary,ENT/ Otorhinolaryngologist,Mon-Sat08:00 PM-09:00 PM,800,4.5
Dr. Sanjay Bakhshi's Physioline Pain & Paralysis Centre,Andheri West,Dr. Sanjay Bakhshi   (Physiotherapist),Physiotherapist,Mon-Sat12:30 PM-07:30 PM,"2,000",5
Smile n Shine Advanced Dental Clinic,Kandivali West,Dr. Charmi Mehta,Dentist,Mon-Sat07:00 PM-09:00 PM,100,5
Clear Vision Eye Clinic,Wadala,Dr. Shilpa Shah Gohil,Infertility Specialist,Mon-Sat07:30 PM-08:30 PM,800,5
Surana Sethia Hospital and Research Center,Chembur,Dr. Santosh Shetty,Orthopedist,null,"1,000",4.5
Divine Smiles Dental Care,Bandra West,Dr. Saachi Shingrani,Dental Surgeon,Mon-Sat04:00 PM-08:30 PM,500,5
Mothers Care Clinic,Andheri West,Dr. Kirti Khopkar.,Ultrasonologist,Mon-Sat10:30 AM-12:30 PM,600,5
Krishna Eye Centre,Parel,Dr. Neetu Asher,Ophthalmologist/ Eye Surgeon,Wed12:00 PM-02:00 PM,"1,200",5
Surana Sethia Hospital and Research Center,Chembur,Dr. Arpit C Dave,Orthopedist,null,"1,000",4.5
"Dr. Sonal Sanghavi's
 Homoeopathic Clinic",Borivali West,Dr. Sonal H. Sanghavi,Homoeopath,"Mon-Fri10:30 AM-01:30 PM, 04:30 PM-07:30 PMSat10:30 AM-01:30 PM, 04:30 PM-08:00 PMshow more","1,000",5
Roots Dental Clinic,Chembur,Dr. Menaz Thakkar,Dentist,"Mon-Fri10:00 AM-02:00 PM, 04:00 PM-08:00 PMSat10:00 AM-02:00 PMshow more",500,5
Orthopaedic Ophthalmic Physiotherapy Clinic,Bandra West,Dr. Hemant Bhandari,Orthopedist,"Mon, Wed-Sat07:00 PM-09:00 PM","1,500",5
Dr. Vora's Dental Care,Mulund West,Dr. Naman Hiralal Vora,Dentist,"Mon, Wed, Fri-Sat10:00 AM-02:00 PM, 04:00 PM-08:00 PM",300,5
Jupiter Hospital Speciality Clinic,Mulund West,Dr. Venkateshwaran N,Plastic Surgeon,"Tue, Thu, Sat04:00 PM-05:00 PM","1,000",4.5
Womens Hospital,Khar West,Dr. Latika Chawla,Gynecologist,"Mon-Sat09:00 AM-10:00 AM, 01:00 PM-02:00 PM","1,500",5
The Dental Studio,Goregaon East,Dr. Aditya Nair,Dentofacial Orthopedist,null,300,5
Oyster Hospital,Goregaon West,Dr. Vivek Salunke,Gynecologist,Mon-Sat07:30 PM-09:30 PM,"1,000",null
SRV Hospital,Goregaon West,Dr. Yogen Chheda,Surgical Oncologist,null,"1,500",5
Navkar Dental Care And Implant Centre & Navkar Physiotherapy Centre,Andheri West,Dr. Mohit Solanki,Dental Surgeon,"Mon-Sat09:15 AM-02:00 PM, 04:30 PM-09:00 PMSun10:00 AM-12:30 PMshow more",300,5
Aditi Hospital,Mulund West,Dr. Sachin Wani,Gastroenterologist,"Mon, Wed, Fri-Sat12:00 PM-01:00 PM",800,4.5
HPE India - Advance Physiotherapy Studio,Bandra West,Dr. Rutuja Lalingkar   (Physiotherapist),Physiotherapist,Mon-Sun09:00 AM-10:00 PM,"1,000",5
Smilez Unlimited Dental Clinic,Juhu,Dr. Nishi Bajaj,Cosmetic/Aesthetic Dentist,"Mon-Sat09:30 AM-02:00 PM, 03:15 PM-08:15 PM",400,5
Mothers Care Clinic,Andheri West,Dr. Zinal,Pediatrician,Mon-Fri11:00 AM-12:00 PM,"1,200",5
Dr L H Hiranandani Hospital,Powai,Ms. Richa Anand,Dietitian/Nutritionist,Mon-Fri08:00 AM-08:00 PM,800,3.5
Wisdom Tooth Clinic,Andheri West,Dr. Ashwini Bhalerao,Dentist,"Mon-Fri10:00 AM-01:30 PM, 04:30 PM-08:00 PMSat10:00 AM-02:00 PMshow more",500,5
Apollo Spectra Hospitals,Chembur,Dr. Sanjay Borude,Bariatric Surgeon,Fri12:00 PM-02:00 PM,"2,000",4.5
Smile Invent Dental Clinic,Bandra East,Dr. Tasneem S Bulsara,Dentist,Mon-Sat09:55 AM-06:00 PM,200,5
Dr. Nair's Dental and Orthodontic Care,Andheri West,Dr. Aditya Nair,Dentofacial Orthopedist,null,300,5
Aashraya Developmental Aid Centre,Bandra West,Dr. Shyam Mithiya,Sexologist,"Mon, Wed, Fri04:00 PM-06:00 PM","2,000",null
Dr. Mithiya's Clinic,Ghatkopar West,Dr. Shyam Mithiya,Sexologist,"Mon-Fri11:00 AM-02:00 PM, 06:30 PM-09:30 PMSat10:30 AM-02:00 PM, 06:30 PM-09:30 PMshow more","1,500",5
Vivanta Hospital,Malad West,Dr. Pankaj Gandhi,General Surgeon,null,"1,000",4.5
Surana Sethia Hospital and Research Center,Chembur,Dr. Niveditha Moulik,General Physician,Thu07:00 PM-08:00 PM,"1,000",4.5
Smile Studio Dental Clinic,Matunga,Dr. Manisha Mehta,Cosmetic/Aesthetic Dentist,"Mon, Wed, Fri09:30 AM-01:00 PMTue, Thu, Sat04:30 PM-08:30 PMshow more",null,5
Dr. Adhye's Homeopathic Clinic,Chembur,Dr. Adhye,Homoeopath,"Mon-Fri10:00 AM-01:00 PM, 06:00 PM-09:00 PMSat10:00 AM-02:00 PMshow more","1,400",5
Reflectionz Clinic,Kandivali East,Ms. Sarika nair,Dietitian/Nutritionist,null,"1,500",5
Unique Smile Concepts,Tilak Nagar,Dr. Ambika Arora,Dentist,null,400,5
Sushrut Hospital and Research Center,Chembur East,Dr. Anil Bradoo,Urologist,"Tue, Thu04:00 PM-05:00 PM",750,4
Dr. Ila Tyagi's Gynecology and Fertility Clinic,Chembur East,Dr. Ila Tyagi,Obstetrician,Mon-Sat05:30 PM-07:30 PM,"1,000",3.5
Apollo Spectra Hospitals,Tardeo,Dr. Mukund Andakar,Urologist,Mon-Fri08:30 AM-09:30 AM,"1,000",4
Arohi Eye Hospital,Andheri West,Dr. Shalomith Uppapalli,Ophthalmologist/ Eye Surgeon,Mon-Sat11:00 AM-07:00 PM,600,5
Aaditya Care,Mulund East,Dr. Pradnya Randive,Obstetrician,"Mon-Sat10:00 AM-12:00 PM, 06:30 PM-08:00 PM",800,5
Dr Sheth's Skin And Hair Clinic,Juhu,Dr. Vindhya Raparla,Dermatologist,Mon-Sat09:30 AM-06:00 PM,"1,000",5
S L Raheja Fortis Hospital,Mahim,Dr. Prakash Sanzgiri,Cardiologist,Wed12:00 PM-01:00 PM,"1,300",4
Global Hospitals,Parel,Dr. Y A Matcheswalla,Psychiatrist,Mon-Sat07:00 PM-09:00 PM,"1,750",4
Prism Eye and Maternity Clinic,Andheri West,Dr. Neha R Shah,Gynecologist,Mon-Sat07:00 PM-09:00 PM,600,5
Ageless Medica Health Management Pvt. Ltd.,Powai,Dr. Prajakta Vaidya,Homoeopath,Sat04:00 PM-07:00 PM,"2,000",4.5
Bombay Knee & Hip Clinic,Matunga,Dr. Aarti Agarwal,General Physician,Mon-Sat11:00 AM-02:00 PM,500,5
Fortis Hospital,Mulund West,Dr. Bhaskar Semitha,Cardiothoracic Surgeon,Mon-Sat04:00 PM-05:00 PM,"1,500",4
Urology & Gynaecology Clinic,Borivali West,Dr. Prajakta A Gokhale,Obstetrician,"Mon-Fri10:00 AM-11:00 AM, 05:00 PM-06:00 PMSat12:00 PM-01:00 PMshow more",600,4
Fortis Hospital,Mulund West,Dr. Atul Limaye,Cardiologist,"Mon-Tue, Thu-Fri10:30 AM-01:30 PMWed, Sat02:00 PM-05:00 PMshow more","1,500",4
Sahu Eye Hospital,Malad West,Dr. Chinmaya Sahu,Ophthalmologist/ Eye Surgeon,"Mon-Tue, Thu-Fri05:00 PM-08:00 PMWed11:00 AM-02:00 PM, 05:00 PM-08:00 PMSat11:00 AM-02:00 PMshow more",800,5
SRV Hospital,Goregaon West,Dr. Pradeep Shriyan,General Surgeon,Mon-Sat11:00 AM-12:00 PM,"1,000",5
Desai Orthopedics and ENT Clinic,Borivali West,Dr. Binhi Desai,ENT/ Otorhinolaryngologist,Mon-Sat05:00 PM-07:00 PM,600,5
Akanksha Maternity & Surgical Hospital,Andheri West,Dr. Sanket Pisat,Laparoscopic Surgeon (Obs & Gyn),Mon-Fri07:00 PM-10:00 PM,700,5
PhysioWorld,Chembur,Dr. Niraj Jha   (Physiotherapist),Neuro Physiotherapist,Mon-Sat10:00 AM-10:00 PMSun10:00 AM-04:00 PMshow more,500,5
Stride Fitness and Mobility Clinic,Vileparle East,Dr. Janhvi Vayada   (Physiotherapist),Sports and Musculoskeletal Physiotherapist,Mon-Fri10:00 AM-06:00 PM,"1,000",5
Mehta Eye Clinic,Ghatkopar East,Dr. Siddharth V Mehta,Ophthalmologist/ Eye Surgeon,"Mon, Wed-Sat09:00 AM-12:30 PMTue03:00 PM-06:30 PMshow more",800,5
Perfect smile clinic,Dadar West,Dr. Nrupal Kothare,Periodontist,"Mon-Fri09:30 AM-02:00 PM, 05:00 PM-08:30 PMSat09:30 AM-02:00 PMshow more",200,5
Jupiter Hospital Speciality Clinic,Mulund West,Dr. Gaurav Nitin Chaubal,Gastroenterologist,"Mon, Wed, Fri05:00 PM-06:00 PM","1,200",4.5
Shinde's Medicare Hospital,Andheri West,Dr. Veena G. Shinde,Gynecologist,Mon-Sun07:00 PM-10:00 PM,"2,000",4.5
Akanksha Maternity & Surgical Hospital,Andheri West,Dr. Suchita Pisat,Gynecologist,Mon-Sat05:00 PM-07:00 PM,700,5
Eye Solutions - The complete eye hospital,Tardeo,Dr. Urmi Shah,Ophthalmologist/ Eye Surgeon,"Mon, Wed-Thu10:00 AM-01:00 PM, 03:00 PM-06:00 PMTue, Fri10:00 AM-01:00 PMshow more","1,000",5
Urology & Gynaecology Clinic,Borivali West,Dr. Anirudhha Gokhale,Urologist,Mon-Fri06:00 PM-08:30 PMSat02:00 PM-04:00 PMshow more,850,4
Global Hospitals,Parel,Dr. Chetan Shah,Cardiologist,Mon-Sat09:00 AM-11:00 AM,"1,750",4
Fortis Hospital,Mulund West,Dr. Hasmukh Ravat,Interventional Cardiologist,"Mon-Tue, Thu-Fri04:00 PM-05:30 PMWed, Sat10:30 AM-12:00 PMshow more","1,500",4
Mumbai Eye Care Cornea and Lasik Centre,Ghatkopar East,Dr. Jatin Ashar,Ophthalmologist/ Eye Surgeon,"Mon-Sat09:00 AM-03:00 PM, 04:00 PM-09:00 PM","1,000",5
Healthwatch Nutrition Clinic,Andheri West,Dr. Zubeda Tumbi   (PhD),Dietitian/Nutritionist,Mon-Sat09:00 AM-05:00 PM,750,4.5
Ayushakti Ayurved  Health Centre,Vileparle,Dr. Anwar Khan,Ayurveda,Mon06:00 PM-09:00 PM,300,null
Global Hospitals,Parel,Dr. Praveen Kulkarni,Cardiologist,"Mon, Thu11:00 AM-01:00 PM, 05:00 PM-07:00 PMTue-Wed, Fri-Sat11:00 AM-01:00 PMshow more","1,750",4
Surana Sethia Hospital and Research Center,Chembur,Dr. Prasad Chaudhari,Orthopedist,Mon-Sat03:00 PM-04:30 PM,"1,000",4.5
Prism Eye and Maternity Clinic,Andheri West,Dr. Rahul P. Shah,Ophthalmologist/ Eye Surgeon,"Mon, Wed-Sat10:00 AM-03:00 PM, 05:00 PM-09:00 PMTue12:00 PM-03:00 PM, 05:00 PM-09:00 PMshow more",800,5
Dr Pathan'S Diabetes Specialties Clinic,Byculla,Dr. Avais Pathan,Diabetologist,"Mon-Fri11:00 AM-02:00 PM, 05:00 PM-10:00 PMSat11:00 AM-02:00 PMshow more",800,5
Sushrut Hospital and Research Center,Chembur East,Dr. Amit Bhagwan Thadhani,General Surgeon,"Mon, Thu10:15 AM-11:00 AM",500,4
Dr.Priti's Dermat Clinic,Ghatkopar West,Dr. Priti Trivedi,Dermatologist,"Mon-Wed, Fri-Sat11:00 AM-01:00 PM, 06:00 PM-09:00 PMThu11:00 AM-01:00 PMshow more",600,4
Tulip Gynecare Clinic,Andheri West,Dr. Gayatri Deshpande,Gynecologist,Mon-Fri05:00 PM-07:00 PMSat11:00 AM-02:00 PMshow more,"1,200",5
Sushrut Hospital and Research Center,Chembur East,Dr. Gopal Patil,General Surgeon,"Mon-Sat10:00 AM-11:00 AM, 07:00 PM-08:00 PM",500,4
Goradia Ayurvedic Clinic.,Grant Road,Dr. Nitin Goradia,Ayurveda,"Mon, Wed, Fri09:30 AM-11:30 AMTue, Thu, Sat03:30 PM-05:30 PMshow more","1,500",5
Fortis Hospital,Mulund West,Dr. P A Kale,Cardiologist,null,"1,500",4
Parakh Hospital,Ghatkopar,Dr. Milind More,Laparoscopic Surgeon,null,"1,000",4.5
Pooja Maternity Nursing Home & Ent Center,Ghatkopar West,Dr. Riddhi Gandhi Shah,Dermatologist,"Mon, Wed, Fri10:00 AM-12:00 PM","1,000",5
Krishna Eye Centre,Parel,Dr. Nishikant Borse,Ophthalmologist/ Eye Surgeon,Wed03:00 PM-06:00 PM,"1,200",5
Punit Hospital,Borivali West,Dr. Ramesh Patel,Orthopedist,"Mon-Wed, Fri-Sat09:00 AM-11:00 AM","1,000",5
Aditi Hospital,Mulund West,Dr. Amit Shah,General Physician,"Mon-Fri12:00 PM-01:00 PM, 07:30 PM-09:00 PMSat12:00 PM-01:00 PMshow more",800,4.5
The Vission Eye Center,Juhu,Dr. Himanshu Mehta,Ophthalmologist/ Eye Surgeon,Mon-Sat05:30 PM-07:00 PM,"1,000",4.5
Harleys Cosmetic & Women Clinic,Andheri West,Ms. Rajvi Sheth,Psychologist,null,"2,000",5
Dr's Mind Centre,Kandivali West,Dr. Kiran Shandilya,Psychiatrist,Mon-Sat10:00 AM-05:00 PM,"1,000",4.5
Global Hospitals,Parel,Dr. Shah Suresh Fulchand,Pediatrician,Wed-Thu04:00 PM-05:00 PM,"1,000",4
HEAL Institute,Colaba,Dr. Manish Singh   (Physiotherapist),Sports and Musculoskeletal Physiotherapist,"Mon, Wed, Fri12:00 PM-08:00 PM",800,5
Exercise Clinic,Andheri West,Dr. Ashwini Renganathan   (Physiotherapist),Physiotherapist,"Mon-Sat10:00 AM-01:00 PM, 06:30 PM-09:00 PM",500,5
The Childrens Hospital Mumbai,Malad West,Dr. Marionette B Pereira,Pediatrician,Mon-Fri11:00 AM-08:00 PM,"1,000",4
Shreeji Eye Clinic,Andheri East,Dr. Shefali Parikh,Ophthalmologist/ Eye Surgeon,"Mon-Tue, Thu-Fri09:30 AM-11:30 AMSat09:30 AM-11:00 AMshow more",550,5
La'mer Clinic,Dadar,Dr. Sushrut Save,null,Mon-Sat10:30 AM-05:00 PM,"2,000",4.5
32 Pearls Dental Clinic,Chembur East,Dr. Reshma Phulwar,Dentist,Mon-Sat09:30 AM-09:30 PMSun10:00 AM-05:00 PMshow more,350,4.5
Ayushakti Ayurved  Health Centre,Vileparle,Dr. Ketki Trivedi,Ayurveda,Mon-Sat11:00 AM-08:00 PM,300,null
Dr.Sheth's Skin & Hair Clinic,Marine Lines,Dr. Shruti Chavan,Dermatologist,Mon-Sat09:30 AM-06:00 PM,"1,000",5
S L Raheja Fortis Hospital,Mahim,Dr. Hemant Brahme,Gynecologist,Mon05:00 PM-06:00 PMWed06:00 PM-07:00 PMshow more,800,4
Suchi Roy Clinic,Chembur,Dr. Biswajeet Naidu,Orthopedist,"Mon-Sat10:00 AM-01:00 PM, 07:05 PM-09:00 PM","1,300",5
Dr. Deep Parekh's 'Mom & Me' Clinic,Ghatkopar East,Dr. Charmi D. Parekh,Gynecologist,null,600,5
SRV Hospital,Goregaon West,Dr. Nilesha Chitre,Gynecologist,Mon-Sat01:00 PM-03:00 PM,"1,000",5
Magident Family Dental Care,Sakinaka,Dr. Girish Shetake,Dentist,"Mon-Sat10:30 AM-02:00 PM, 03:30 PM-09:00 PM",100,5
Apollo Spectra Hospitals,Tardeo,Dr. Jatin Choksi,Laparoscopic Surgeon,"Mon-Fri11:00 AM-12:00 PM, 06:00 PM-07:00 PM","1,500",4
Shenmen Healing Center,Santacruz West,Dr. Santosh Pandey,Yoga and Naturopathy,"Mon, Wed-Sat09:00 AM-09:00 PMTue09:00 AM-08:00 PMSun09:00 AM-04:00 PMshow more","1,000",5
Asian Heart Institute And Research Centre,Bandra East,Dr. Ramakanta Panda,Cardiac Surgeon,Mon-Sat07:00 PM-10:00 PMSun11:00 AM-02:00 PMshow more,"3,400",4
Dr L H Hiranandani Hospital,Powai,Dr. Abhijit Joshi,General Surgeon,"Mon-Sat09:00 AM-02:00 PM, 03:00 PM-08:00 PM","1,000",3.5
Reflectionz Clinic,Kandivali East,Dr. Kanika Agrawal,Dermatologist,"Mon-Tue, Thu-Sat11:00 AM-02:00 PM, 05:00 PM-09:00 PMSun10:00 AM-01:00 PMshow more",700,5
Sushrut Hospital and Research Center,Chembur East,Dr. G. Sundaram,Orthopedist,"Wed, Sat09:00 AM-10:00 AM","1,000",4
Asian Heart Institute And Research Centre,Bandra East,Dr. Vijay D'Silva,General Physician,"Mon, Wed, Fri10:00 AM-12:00 PM","2,350",4
Anjum's Diet & Wellness,Andheri West,Dr. Siddharth S. Mishra   (Physiotherapist),Physiotherapist,Sat07:00 PM-09:00 PM,800,5
Dr L H Hiranandani Hospital,Powai,Dr. Vimal J.Pahuja,General Physician,"Mon-Tue, Thu-Fri08:00 AM-02:00 PM, 04:00 PM-06:30 PMWed, Sat08:00 AM-02:00 PM, 04:00 PM-08:00 PMshow more","1,000",3.5
Wockhardt Hospitals,Mira Road,Dr. Mallika Tewari,Surgical Oncologist,"Mon, Wed, Sat10:00 AM-02:00 PM, 03:00 PM-05:00 PM",750,4
Parakh Hospital,Ghatkopar,Dr. Vikas Jain,Spine Surgeon,null,"1,000",4.5
Harleys Cosmetic & Women Clinic,Andheri West,Ms. Himani Mittal,Dietitian/Nutritionist,"Mon, Sat12:00 PM-02:00 PMTue, Thu06:00 PM-08:00 PMshow more","1,000",5
Dr. Yuvaraja S Shetty Child Health Center and Polyclinic,Mulund West,Dr. Yuvaraja S Shetty,Paediatric Intensivist,"Mon-Sat11:00 AM-04:00 PM, 07:00 PM-11:00 PMSun11:00 AM-07:00 PMshow more",750,5
"Parakh Hospital - Gynecology, Obstetrics & IVF",Ghatkopar East,Dr. Sanjay Mehta,Gynecologist,"Mon, Wed, Fri12:00 PM-02:00 PM, 05:00 PM-07:00 PM","1,000",4.5
HEAL Institute,Khar West,Dr. Dhananjay Padwal   (Physiotherapist),Physiotherapist,Mon-Sat11:00 AM-07:00 PM,800,5
Sai Netra Advanced Eye Care,Andheri East,Dr. Darshana Gadgil,Ophthalmologist/ Eye Surgeon,Mon-Fri03:00 PM-06:00 PMSat11:00 AM-01:00 PMshow more,900,5
Pooja Maternity Nursing Home & Ent Center,Ghatkopar West,Dr. Jagdip Shah,Gynecologist,"Mon, Wed, Fri10:30 AM-02:00 PM, 06:00 PM-08:00 PM","1,200",5
Aditi Hospital,Mulund West,Dr. Shailendra Patil,Orthopedist,Mon-Sat04:00 PM-09:00 PM,"1,000",4.5
Irla Nursing Home & Polyclinic,Vileparle West,Dr. Bella Jagtap Palnitkar,Gynecologist,Mon-Sat11:00 AM-03:00 PM,700,5
Dr Ajay Doiphode's Prime ENT Clinic,Andheri West,Dr. Ajay Doiphode,ENT/ Otorhinolaryngologist,Mon-Fri06:00 PM-08:30 PMSat06:00 PM-07:30 PMshow more,"1,000",5
Womens Hospital,Khar West,Dr. Sharda Arvind,Gynecologist,"Mon-Sat09:00 AM-10:00 AM, 01:00 PM-02:00 PM","1,500",5
Care 32 Family Dental Care Centre,Andheri East,Dr. Mary Grace Dakey,Dental Surgeon,"Mon-Sat11:00 AM-02:45 PM, 03:00 PM-08:30 PM",300,5
Total Health Care,Borivali West,Dr. Dhara Shah   (Physiotherapist),Physiotherapist,Mon-Sat09:00 AM-09:00 PM,300,4.5
Dental Expertz Clinic,Mumbai Central,Dr. Fauzia Khimani Naaz,Dentist,Mon-Sat06:00 PM-09:00 PM,300,5
Vivanta Hospital,Malad West,Dr. Anjali Mhatre,Gynecologist,"Mon-Sat12:00 PM-01:00 PM, 06:30 PM-07:30 PM",800,4.5
Derma Care,Opera House,Dr. Farida Modi,Cosmetologist,Mon-Fri11:00 AM-07:00 PMSat11:00 AM-05:00 PMshow more,"1,500",4.5
Dr. Ajay Thaker's Smiles Royale Dental Clinic,Mulund West,Dr. Ajay Thaker,Dentist,"Mon-Fri11:00 AM-02:00 PM, 06:00 PM-09:00 PMSat11:00 AM-02:00 PMshow more",200,5
Viva Cosmetic Clinic,Opera House,Dr. Deepam J. Shah,Dermatologist,"Mon11:00 AM-02:00 PM, 04:00 PM-08:00 PMTue, Thu04:00 PM-07:00 PMWed, Fri04:00 PM-08:00 PMSat11:00 AM-02:00 PM, 04:00 PM-07:00 PMshow more","1,000",5
Believe - Health And Skin Clinic,Girgaon,Dr. Vibha Murarka,Dermatologist,"Mon, Wed-Thu, Sat10:15 AM-01:30 PMFri04:00 PM-06:15 PMshow more","1,000",5
Dr. Gupte's Clinic,Kandivali East,Dr. Jayashree Gupte,Dentist,"Mon-Sat10:00 AM-01:00 PM, 06:00 PM-09:30 PM",200,5
Womens Hospital,Khar West,Dr. Gayatri Rao,Obstetrician,Mon-Fri10:00 AM-06:30 PMSat10:00 AM-04:00 PMshow more,"1,500",5
Vivanta Hospital,Malad West,Dr. Raghvendra Ramdasi,Neurosurgeon,null,"1,500",4.5
Hair Science,Andheri,Dr. Anjali Shere,Dermatologist,Mon-Sat09:30 AM-06:30 PM,500,2.5
Lifeforce Homeopathy Clinic,Chembur,Dr. Amrita Utekar,Homoeopath,Mon-Sat10:00 AM-06:00 PM,500,4.5
Sanjeevani Kidney Care,Andheri East,Dr. B.R. Ramesh Rao,Nephrologist/Renal Specialist,Mon-Fri04:00 PM-07:00 PM,"2,000",3.5
Divine Smiles Dental Care,Bandra West,Dr. Sandhya Biyani,Dental Surgeon,Mon-Sat10:00 AM-08:00 PM,500,5
Surana Sethia Hospital and Research Center,Chembur,Dr. Milind More,Laparoscopic Surgeon,"Mon, Wed, Fri06:00 PM-07:00 PM","1,000",4.5
Goradia Ayurvedic Clinic.,Grant Road,Dr. Dipak D Goradia,Ayurveda,"Mon, Wed, Fri03:30 PM-05:30 PMTue, Thu, Sat10:00 AM-11:30 AMshow more","1,500",5
Psychiatry and Sex Clinic,Andheri East,Dr. Shyam Mithiya,Sexologist,null,"1,500",4
