Disease_Name,Drug_Name,General_Information,Side_Effects,Additional_Information,Mechanism_of_Action
Melanoma,Cotellic (cobimetinib),"General Information
Cotellic (cobimetinib) is a kinase inhibitor.
Cotellic is specifically indicated for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, in combination with vemurafenib.
Cotellic is supplied as a tablet for oral administration. The recommended dose is 60 mg (three 20 mg tablets) orally taken once daily for the first 21 days of each 28-day cycle until disease progression or unacceptable toxicity. Take Cotellic with or without food. If a dose is missed or if vomiting occurs when the dose is taken, resume dosing with the next scheduled dose.
Clinical Results
FDA Approval
The FDA approval of Cotellic was based on a randomized clinical study of 495 patients with previously untreated, BRAF V600 mutation-positive melanoma that was advanced or could not be removed by surgery. All subjects received vemurafenib and were then randomly selected to also take either Cotellic or a placebo. On average, subjects taking Cotellic plus vemurafenib experienced a delay in the amount of time it took for their disease to worsen (approximately 12.3 months after starting treatment) compared to approximately 7.2 months after starting treatment for those taking vemurafenib only. In addition, subjects taking Cotellic plus vemurafenib lived longer, with approximately 65 percent of subjects alive 17 months after starting treatment as compared to half of those taking vemurafenib only. Additionally, 70 percent of those taking Cotellic plus vemurafenib experienced complete or partial shrinkage of their tumors, compared to 50 percent among those taking vemurafenib plus placebo.
","Side Effects
Adverse effects associated with the use of Cotellic may include, but are not limited to, the following:
diarrhea
sensitivity to ultraviolet light
nausea
pyrexia
vomiting
",,"Mechanism of Action
Cotellic (cobimetinib) is a reversible inhibitor of mitogen-activated protein kinase (MAPK)/extracellular signal regulated kinase 1 (MEK1) and MEK2. MEK proteins are upstream regulators of the extracellular signalÂ­ related kinase (ERK) pathway, which promotes cellular proliferation. BRAF V600E and K mutations result in constitutive activation of the BRAF pathway which includes MEK1 and MEK2.
"
Melanoma,Imlygic (talimogene laherparepvec),"General Information
Imlygic (talimogene laherparepvec) is a genetically modified oncolytic viral therapy.
Imlygic is specifically indicated for the local treatment of unresectable cutaneous, subcutaneous, and nodal lesions in patients with melanoma recurrent after initial surgery.
Imlygic is supplied as a suspension for intralesional injection. Imlygic should be administered by injection into cutaneous, subcutaneous, and/or nodal lesions that are visible, palpable, or detectable by ultrasound guidance.
Imlygic is provided in single-use vials of 1 mL each in two different dose strengths: 10*6 (1 million) plaque-forming units (PFU) per mL (light green cap) â€“ for initial dose only and 10*8 (100 million) PFU per mL (royal blue cap) â€“ for all subsequent doses. The initial recommended dose is up to 4 mL at a concentration of 10*6 (1 million) PFU per mL. The recommended dose for subsequent administrations is up to 4 mL at a concentration of 10*8 (100 million) PFU per mL. Please see drug label for recommended dose schedule and dose volume determination.
Clinical Results
FDA Approval
The FDA approval of Imlygic was based on Study 005/05, referred to as OPTiM. OPTiM was a phase III, multicenter, open-label, randomized clinical trial comparing Imlygic to GM-CSF in 436 patients with advanced melanoma (Stage IIIB, IIIC, or IV) that was not surgically resectable. The subjects were randomized to receive either Imlygic (n = 295) or GM-CSF (n = 141). Imlygic was administered by intralesional injection at an initial concentration of 10*6 (1 million) PFU per mL on Day 1, followed by a concentration of 10*8 (100 million) PFU per mL on Day 21 and every 2 weeks thereafter, at a dose of up to 4 mL per visit. GM-CSF was administered subcutaneously in 28-day cycles, i.e., 125 Âµg/m2 daily for 14 days followed by 14 days without GM-CSF administration. The primary endpoint of the study was durable response rate (DRR), defined as the percent of patients with complete response (CR) or partial response (PR) maintained continuously for a minimum of six months. In the study, 16.3 percent of patients treated with Imlygic achieved a durable response compared to 2.1 percent of patients treated with GM-CSF (p <0.0001). Of the patients who experienced a durable response, 29.1 percent had a durable CR and 70.8 percent had a durable PR. In the study, the median time to response was 4.1 (range: 1.2 to 16.7) months in the Imlygic arm.
","Side Effects
Adverse effects associated with the use of Imlygic may include, but are not limited to, the following:
fatigue
chills
pyrexia
nausea
influenza-like illness
injection site pain
",,"Mechanism of Action
Imlygic (talimogene laherparepvec) is a genetically modified oncolytic viral therapy. It was designed to replicate within tumors and to produce the immune stimulatory protein GM-CSF. Imlygic causes lysis of tumors, followed by release of tumor-derived antigens, which together with virally derived GM-CSF may promote an antitumor immune response.
"
Melanoma,Keytruda (pembrolizumab),"General Information
Keytruda (pembrolizumab) is a monoclonal antibody that binds to the PD-1 receptor and blocks its interaction with PD-L1 and PD-L2, releasing PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response.
Keytruda is specifically indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor.
Keytruda is supplied as a solution for intravenous infusion. The recommended dose is 2 mg/kg administered as an intravenous infusion over 30 minutes every 3 weeks until disease progression or unacceptable toxicity.
Clinical Results
FDA Approval
Keytruda for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor was approved under accelerated approval based on tumor response rate and durability of response. An improvement in survival or disease-related symptoms has not yet been established. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials.
The efficacy was Keytruda was evaluated in an open label, randomized, comparative dose trial in subjects with unresectable or metastatic melanoma with progression of disease; refractory to two or more doses of ipilimumab (3 mg/kg or higher) and, if BRAF V600 mutation-positive, a BRAF or MEK inhibitor; and disease progression within 24 weeks following the last dose of ipilimumab. The subjects were randomized to receive 2 mg/kg (n=89) or 10 mg/kg (n=84) of Keytruda every 3 weeks until unacceptable toxicity or disease progression that was symptomatic, was rapidly progressive, required urgent intervention, occurred with a decline in performance status, or was confirmed at 4 to 6 weeks with repeat imaging. Assessment of tumor status was performed every 12 weeks. The major efficacy outcome measures were confirmed overall response rate (ORR) according to Response Evaluation Criteria in Solid Tumors (RECIST 1.1) as assessed by blinded independent central review and duration of response. The ORR was 24% (95% confidence interval: 15, 34) in the 2 mg/kg arm, consisting of 1 complete response and 20 partial responses. Among the 21 subjects with an objective response, 3 (14%) had progression of disease 2.8, 2.9, and 8.2 months after initial response. The remaining 18 subjects (86%) had ongoing responses with durations ranging from 1.4+ to 8.5+ months, which included 8 subjects with ongoing responses of 6 months or longer. One additional subject developed two new asymptomatic lesions at the first tumor assessment concurrent with a 75% decrease in overall tumor burden; Keytruda was continued and this reduction in tumor burden was durable for 5+ months. There were objective responses in subjects with and without BRAF V600 mutation-positive melanoma. Similar ORR results were observed in the 10 mg/kg arm.
","Side Effects
Adverse effects associated with the use of Keytruda may include, but are not limited to, the following:
fatigue
cough
nausea
pruritus
rash
decreased appetite
constipation
arthralgia
diarrhea
",,"Mechanism of Action
Keytruda (pembrolizumab) is a humanized monoclonal antibody that blocks the interaction between PD-1 and its ligands, PD-L1 and PD-L2. Binding of the PD-1 ligands, PD-L1 and PD-L2, to the PD-1 receptor found on T cells, inhibits T cell proliferation and cytokine production. Upregulation of PD-1 ligands occurs in some tumors and signaling through this pathway can contribute to inhibition of active T-cell immune surveillance of tumors. Pembrolizumab is a monoclonal antibody that binds to the PD-1 receptor and blocks its interaction with PD-L1 and PD-L2, releasing PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response.
"
Melanoma,Mekinist (trametinib),"General Information
Mekinist (trametinib) is an orally bioavailable inhibitor of mitogen-activated protein kinase kinase (MEK) with potential antineoplastic activity. Trametinib specifically binds to and inhibits MEK 1 and 2, resulting in an inhibition of growth factor-mediated cell signaling and cellular proliferation in various cancers. MEK 1 and 2, dual specificity threonine/tyrosine kinases often upregulated in various cancer cell types, play a key role in the activation of the RAS/RAF/MEK/ERK signaling pathway that regulates cell growth.
Mekinist is specifically indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test. It is not indicated for patients who have received prior BRAF-inhibitor therapy.
Mekinist is supplied as a tablet for oral administration. The recommended dose is 2 mg orally once daily until disease progression or unacceptable toxicity. Take at least 1 hour before or 2 hours after a meal. Do not take a missed dose within 12 hours of the next dose.
Clinical Results
FDA Approval
The FDA approval of Mekinist was based on an international, multi-center, randomized, open label, active-controlled trial in 322 patients with BRAF V600E or V600K mutation-positive, unresectable or metastatic melanoma. Patients were not permitted to have more than one prior chemotherapy regimen for advanced or metastatic disease; prior treatment with a BRAF inhibitor or MEK inhibitor was not permitted. Subjects were randomized to receive Mekinist 2 mg orally once daily (N = 214) or chemotherapy (N = 108) consisting of either dacarbazine 1,000 mg/m2 intravenously every 3 weeks or paclitaxel 175 mg/m2 intravenously every 3 weeks. Treatment continued until disease progression or unacceptable toxicity. The primary efficacy measure was progression-free survival (PFS). Progressive disease occurred in 50% of the Mekinist arm versus 65% of the chemotherapy arm and the median number of months to progressive disease was 4.8 versus 1.5 months.
","Side Effects
Adverse events associated with the use of Mekinist may include, but are not limited to, the following:
rash
diarrhea
lymphedema
",,"Mechanism of Action
Mekinist (trametinib) is a reversible inhibitor of mitogen-activated extracellular signal regulated kinase 1 (MEK1) and MEK2 activation and of MEK1 and MEK2 kinase activity. MEK proteins are upstream regulators of the extracellular signal-related kinase (ERK) pathway, which promotes cellular proliferation. BRAF V600E mutations result in constitutive activation of the BRAF pathway which includes MEK1 and MEK2. Trametinib inhibits BRAF V600 mutation-positive melanoma cell growth in vitro and in vivo.
Literature References
Kim KB, Kefford R, Pavlick AC, Infante JR, Ribas A, Sosman JA, Fecher LA, Millward M, McArthur GA, Hwu P, Gonzalez R, Ott PA, Long GV, Gardner OS, Ouellet D, Xu Y, DeMarini DJ, Le NT, Patel K, Lewis KD Phase II study of the MEK1/MEK2 inhibitor Trametinib in patients with metastatic BRAF-mutant cutaneous melanoma previously treated with or without a BRAF inhibitor. Journal of Clinical Oncology 2013 Feb 1;31(4):482-9
"
Melanoma,Opdivo (nivolumab),"General Information
Opdivo (nivolumab) is a human monoclonal antibody that blocks the interaction between PD-1 and its ligands, PD-L1 and PD-L2. Binding of the PD-1 ligands, PD-L1 and PD-L2, to the PD-1 receptor found on T cells, inhibits T-cell proliferation and cytokine production.
Opdivo is specifically indicated for the treatment of patients with unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor.
Opdivo is supplied as a solution for intravenous administration. The recommended dose of Opdivo is 3 mg/kg administered as an intravenous infusion over 60 minutes every two weeks until disease progression or unacceptable toxicity.
Clinical Results
FDA Approval
Opdivo was approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials. The FDA approval of Opdivo for melanoma was based on a multicenter, open-label trial that randomized patients with unresectable or metastatic melanoma to receive either Opdivo administered intravenously at 3 mg/kg every 2 weeks or investigatorâ€™s choice of chemotherapy, either single-agent dacarbazine 1000 mg/m2 every 3 weeks or the combination of carboplatin AUC 6 every 3 weeks plus paclitaxel 175 mg/m2 every 3 weeks. Patients were required to have progression of disease on or following ipilimumab treatment and, if BRAF V600 mutation positive, a BRAF inhibitor. Tumor assessments were conducted 9 weeks after randomization then every 6 weeks for the first year, and every 12 weeks thereafter. Efficacy was evaluated in a single-arm, non-comparative, planned interim analysis of the first 120 patients who received Opdivo and in whom the minimum duration of follow up was 6 months. The major efficacy outcome measures in this population were confirmed objective response rate (ORR) as measured by blinded independent central review using Response Evaluation Criteria in Solid Tumors (RECIST 1.1) and duration of response. The ORR was 32%, consisting of 4 complete responses and 34 partial responses in Opdivo-treated patients. Of 38 patients with responses, 33 (87%) had ongoing responses with durations ranging from 2.6+ to 10+ months, which included 13 patients with ongoing responses of 6 months or longer. There were objective responses in patients with and without BRAF V600 mutation positive melanoma.
","Side Effects
The most common adverse reaction associated with the use of Opdivo was rash.
",,"Mechanism of Action
Opdivo (nivolumab) is a human immunoglobulin G4 (IgG4) monoclonal antibody that binds to the PD-1 receptor and blocks its interaction with PD-L1 and PD-L2, releasing PD-1 pathway-mediated inhibition of the immune response, including the anti-tumor immune response. Binding of the PD-1 ligands, PD-L1 and PD-L2, to the PD-1 receptor found on T cells, inhibits T-cell proliferation and cytokine production. Upregulation of PD-1 ligands occurs in some tumors and signaling through this pathway can contribute to inhibition of active T-cell immune surveillance of tumors.
"
Melanoma,Sylatron (peginterferon alfa-2b),"General Information
Sylatron is a covalent conjugate of recombinant alfa-2b interferon with monomethoxy polyethylene glycol (PEG). Peginterferon alfa-2b is a pleiotropic cytokine; the mechanism by which it exerts its effects in patients with melanoma is unknown.
Sylatron is specifically indicated for the adjuvant treatment of melanoma with microscopic or gross nodal involvement within 84 days of definitive surgical resection including complete lymphadenectomy.
Sylatron is supplied as a powder for reconstitution into a solution designed for subcutaneous administration. The recommended initial dose is 6 mcg/kg/week subcutaneously for eight doses, followed by 3 mcg/kg/week subcutaneously for up to five years. Premedicate with acetaminophen 500 to 1000 mg orally 30 minutes prior to the first dose of Sylatron and as needed for subsequent doses.
Clinical Results
FDA Approval
The FDA approval of Sylatron was based on an open-label, multicenter, randomized study conducted in 1256 subjects with surgically resected, AJCC Stage III melanoma within 84 days of regional lymph node dissection. The subjects were randomized to observation (no therapy) or to Sylatron at a dose of 6 mcg/kg by subcutaneous injection once weekly for eight doses followed by a 3 mcg/kg subcutaneous injection once weekly for a period of up to five years. The main outcome measure was relapse-free survival (RFS), defined as the time from randomization to the earliest date of any relapse (local, regional, in-transit, or distant), or death from any cause. Secondary outcome measures included overall survival. The median RFS was 34.8 months and 25.5 months in the Sylatron and observation arms, respectively. There was no statistically significant difference in survival between the Sylatron and the observation arms.
","Side Effects
Adverse events associated with the use of Sylatron may include, but are not limited to, the following:
fatigue
increased ALT
increased AST
pyrexia
headache
anorexia
myalgia
nausea
chills
injection site reaction
.
",,"Mechanism of Action
Sylatron is a covalent conjugate of recombinant alfa-2b interferon with monomethoxy polyethylene glycol (PEG). Peginterferon alfa-2b is a pleiotropic cytokine; the mechanism by which it exerts its effects in patients with melanoma is unknown.
Literature References
Bouwhuis MG, Suciu S, Testori A, Kruit WH, SalÃ¨s F, Patel P, Punt CJ, Santinami M, Spatz A, Ten Hagen TL, Eggermont AM Phase III trial comparing adjuvant treatment with pegylated interferon Alfa-2b versus observation: prognostic significance of autoantibodies--EORTC 18991. Journal of clinical oncology : official journal of the American Society of Clinical Oncology 2010 May 10;28(14):2460-6
"
Melanoma,Tafinlar (dabrafenib),"General Information
Tafinlar (dabrafenib) is an inhibitor of some mutated forms of BRAF kinases, as well as wild-type BRAF and CRAF kinases. Some mutations in the BRAF gene, including those that result in BRAF V600E, can result in constitutively activated BRAF kinases that may stimulate tumor cell growth.
Tafinlar is specifically indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test. Tafinlar is not indicated for treatment of patients with wild-type BRAF melanoma.
Tafinlar is supplied as a capsule for oral administration. The recommended dose is 150 mg orally taken twice daily, approximately 12 hours apart, until disease progression or unacceptable toxicity occurs. Take either at least 1 hour before or at least 2 hours after a meal. A missed dose can be taken up to 6 hours prior to the next dose.
Clinical Results
FDA Approval
The FDA approval of Tafinlar was based on an international, multicenter, randomized, open-label, active-controlled trial conducted in 250 patients with previously untreated BRAF V600E mutation-positive, unresectable or metastatic melanoma. Patients with any prior use of BRAF inhibitors or MEK inhibitors were excluded. Patients were randomized to receive Tafinlar 150 mg by mouth twice daily (n = 187) or dacarbazine 1,000 mg/m2 intravenously every 3 weeks (n = 63). The primary endpoint was progression free survival (PFS). The number of PFS events occurred in 42% of the Tafinlar arm versus 65% of the dacarbazine arm. The median number of months to progression was 5.1 versus 2.7 months.(p <0.0001)
","Side Effects
Adverse events associated with the use of Tafinlar may include, but are not limited to, the following:
hyperkeratosis
headache
pyrexia
arthralgia
papilloma
alopecia
palmar-plantar erythrodysesthesia syndrome
",,"Mechanism of Action
Tafinlar (dabrafenib) is an inhibitor of some mutated forms of BRAF kinases, as well as wild-type BRAF and CRAF kinases. Some mutations in the BRAF gene, including those that result in BRAF V600E, can result in constitutively activated BRAF kinases that may stimulate tumor cell growth.
Literature References
Hauschild A, Grob JJ, Demidov LV, Jouary T, Gutzmer R, Millward M, Rutkowski P, Blank CU, Miller WH Jr, Kaempgen E, MartÃ­n-Algarra S, Karaszewska B, Mauch C, Chiarion-Sileni V, Martin AM, Swann S, Haney P, Mirakhur B, Guckert ME, Goodman V, Chapman PB Dabrafenib in BRAF-mutated metastatic melanoma: a multicentre, open-label, phase 3 randomised controlled trial. Lancet 2012 Jul 28;380(9839):358-65.
"
Melanoma,Yervoy (ipilimumab),"General Information
Yervoy (ipilimumab) is a recombinant, human monoclonal antibody that binds to the cytotoxic T-lymphocyte-associated antigen 4 (CTLA-4), a molecule on T cells that suppresses the immune response. Blockade of CTLA-4 augments T-cell activation and proliferation and ipilimumab works via T-cell mediated anti-tumor immune responses.
Yervoy is specifically indicated for the treatment of unresectable or metastatic melanoma.
Yervoy is supplied as a solution for intravenous administration. The recommended dose of Yervoy is 3 mg/kg administered intravenously over 90 minutes every three weeks for a total of four doses.
Clinical Results
FDA Approval
The FDA approval of Yervoy was based on a randomized, double-blind, double-dummy study in 676 previously treated subjects with unresectable or metastatic melanoma. The subjects received Yervoy alone, Yervoy plus an investigational peptide vaccine gp100, or the gp100 vaccine alone. Yervoy was administered at 3 mg/kg as an intravenous infusion every three weeks for four doses. Gp100 was administered at a dose of 2 mg peptide by deep subcutaneous injection every three weeks for four doses. The primary endpoint was overall survival in the Yervoy plus gp100 arm versus the gp100 monotherapy arm. Assessment of tumor response to Yervoy was conducted at weeks 12 and 24, and every three months thereafter. Survival rate at 1 year was 46% in the Yervoy arm vs. 25% in the gp100 arm. The estimated survival rate at 2 years was 24% in the Yervoy arm vs. 14% in the gp100 arm. Subjects treated with Yervoy had a 34% reduction in the risk of death over the gp100 control arm and those treated with Yervoy plus gp100 had a 32% reduction in the risk of death over the gp100 control arm. Median overall survival was 10, 10 and 6 months for the Yervoy alone, Yervoy + gp100 arm and gp100 alone arms, respectively.
","Side Effects
Adverse events associated with the use of Yervoy may include, but are not limited to, the following:
fatigue
diarrhea
pruritus
rash
colitis
",,"Mechanism of Action
Yervoy (ipilimumab) is a recombinant, human monoclonal antibody that binds to the cytotoxic T-lymphocyte-associated antigen 4 (CTLA-4), a molecule on T cells that suppresses the immune response. CTLA-4 is a negative regulator of T-cell activation. Ipilimumab binds to CTLA-4 and blocks the interaction of CTLA-4 with its ligands. Blockade of CTLA-4 has been shown to augment T-cell activation and proliferation. The mechanism of action of ipilimumabâ€™s effect in patients with melanoma is indirect, possibly through T-cell mediated anti-tumor immune responses.
Literature References
Hodi FS, O'Day SJ, McDermott DF, Weber RW, Sosman JA, Haanen JB, Gonzalez R, Robert C, Schadendorf D, Hassel JC, Akerley W, van den Eertwegh AJ, Lutzky J, Lorigan P, Vaubel JM, Linette GP, Hogg D, Ottensmeier CH, LebbÃ© C, Peschel C, Quirt I, Clark JI, Wolchok JD, Weber JS, Tian J, Yellin MJ, Nichol GM, Hoos A, Urba WJ Improved survival with ipilimumab in patients with metastatic melanoma New England Journal of Medicine 2010 Aug 19;363(8):711-23
O'Day SJ, Maio M, Chiarion-Sileni V, Gajewski TF, Pehamberger H, Bondarenko IN, Queirolo P, Lundgren L, Mikhailov S, Roman L, Verschraegen C, Humphrey R, Ibrahim R, de Pril V, Hoos A, Wolchok JD Efficacy and safety of ipilimumab monotherapy in patients with pretreated advanced melanoma: a multicenter single-arm phase II study. Annals of Oncology : Official Journal of the European Society for Medical Oncology 2010 Aug;21(8):1712-7
Weber JS, O'Day S, Urba W, Powderly J, Nichol G, Yellin M, Snively J, Hersh E Phase I/II study of ipilimumab for patients with metastatic melanoma. Journal of Clinical Oncology : Official Journal of the American Society of Clinical Oncology 2008 Dec 20;26(36):5950-6
"
Melanoma,Zelboraf (vemurafenib),"General Information
Zelboraf (vemurafenib) is a selective inhibitor of the activated BRAFV600E gene, a gene found in 70% of malignant melanomas and a significant percentage of other cancers.
Zelboraf is speicfically indicated for the treatment of unresectable or metastatic melanoma with BRAFV600E mutation, as detected by an FDA-approved test.
Zelboraf is supplied as a tablet for oral administration. The recommended dose is 960 mg (four 240 mg tablets) twice daily. The first dose should be taken in the morning and the second dose should be taken in the evening approximately 12 hours later. Each dose can be taken with or without a meal. If a dose is missed, it can be taken up to four hours prior to the next dose to maintain the twice daily regimen. Both doses should not be taken at the same time.
Clinical Results
FDA Approval
The FDA approval of Zelboraf in treatment naÃ¯ve subjects was based on an international, randomized, open-label trial in 675 subjects. The subjects received Zelboraf 960 mg by mouth twice daily or dacarbazine 1000 mg/m2 intravenously on Day 1 every three weeks. Treatment continued until disease progression, unacceptable toxicity, and/or consent withdrawal. The major efficacy outcome measures were overall survival (OS) and investigator-assessed progression-free survival (PFS). The overall response rate was 48.4% in the Zelboraf arm compared to 5.5% in the dacarbazine arm. There were two complete responses (0.9%) and 104 partial responses (47.4%) in the Zelboraf arm and all 12 responses were partial responses (5.5%) in the dacarbazine arm. The median progression free survival was 5.3 months in the Zelboraf arm versus 1.6 months in the dacarbazine arm. The FDA approval of Zelboraf in subjects who received prior systemic therapy was based on single-arm, multicenter, multinational trial in 132 subjects. The confirmed best overall response rate was 52%. There were three complete responses (2.3%) and 66 partial responses (50.0%). The median time to response was 1.4 months with 75% of responses occurring by month 1.6 of treatment. The median duration of response was 6.5 months.
","Side Effects
Adverse events associated with the use of Zelboraf may include, but are not limited to, the following:
arthralgia
rash
alopecia
fatigue
photosensitivity reaction
nausea
pruritus
skin papilloma
",,"Mechanism of Action
Vemurafenib is a low molecular weight, orally available, inhibitor of some mutated forms of BRAF serine-threonine kinase, including BRAFV600E. Vemurafenib also inhibits other kinases in vitro such as CRAF, ARAF, wild-type BRAF, SRMS, ACK1, MAP4K5 and FGR at similar concentrations. Some mutations in the BRAF gene including V600E result in constitutively activated BRAF proteins, which can cause cell proliferation in the absence of growth factors that would normally be required for proliferation.
Literature References
Chapman PB, Hauschild A, Robert C, Haanen JB, Ascierto P, Larkin J, Dummer R, Garbe C, Testori A, Maio M, Hogg D, Lorigan P, Lebbe C, Jouary T, Schadendorf D, Ribas A, O'Day SJ, Sosman JA, Kirkwood JM, Eggermont AM, Dreno B, Nolop K, Li J, Nelson B, Hou J, Lee RJ, Flaherty KT, McArthur GA; BRIM-3 Study Group Improved survival with vemurafenib in melanoma with BRAF V600E mutation. The New England Journal of Medicine 2011 Jun 30;364(26):2507-16
"
Meningitis,Bexsero (Meningococcal Group B Vaccine),"General Information
Bexsero is a multicomponent Meningococcal Serogroup B vaccine.
Bexsero is specifically indicated for active immunization to prevent invasive disease caused by Neisseria meningitidis serogroup B. Bexsero is approved for use in individuals 10 through 25 years of age.
Bexsero is supplied as a solution for intramuscular administration. Bexsero should be administer in two doses (0.5 mL each) at least 1 month apart.
Clinical Results
FDA Approval
The FDA approval of Bexsero was based on three studies conducted in Canada, Australia, Chile, and the United Kingdom in approximately 2,600 adolescents and young adults. Among subjects who received two doses of Bexsero, after vaccination, 62 to 88% had antibodies in their blood that killed three different N. meningitidis serogroup B strains in tests carried out in a laboratory, compared with 0 to 23% before vaccination. These three strains are representative of strains that cause serogroup B meningococcal disease in the U.S.
","Side Effects
Adverse effects associated with the use of Bexsero may include, but are not limited to, the following:
pain at the injection site
myalgia
erythema
fatigue
headache
induration
nausea
arthralgia
",,"Mechanism of Action
Bexsero is a multicomponent Meningococcal Serogroup B vaccine. NHBA, NadA, fHbp, and PorA are proteins found on the surface of meningococci and contribute to the ability of the bacterium to cause disease. Vaccination with Bexsero leads to the production of antibodies directed against NHBA, NadA, fHbp, and PorA P1.4. The susceptibility of serogroup B meningococci to complement-mediated antibodydependent killing following vaccination with Bexsero is dependent on both the antigenic similarity of the bacterial and vaccine antigens, as well as the amount of antigen expressed on the surface of the invading meningococci.
"
Meningitis,Menveo (meningitis vaccine),"General Information
Menveo is a quadrivalent conjugated vaccine containing the Neisseria meningitidis serogroups A, C, Y and W-135. The presence of serum bactericidal antibodies protects against invasive meningococcal disease. Vaccination with Menveo leads to the production of bactericidal antibodies directed against the capsular polysaccharides of serogroups A, C, Y and W-135.
Menveo is specifically indicated for active immunization to prevent invasive meningococcal disease caused by Neisseria meningitidis serogroups A, C, Y and W-135. in persons 11 to 55 years of age.
Menveo is supplied as a solution for intramuscular injection. Following reconstitution, Menveo should be administered as a single 0.5mL intramuscular injection, preferably into the deltoid muscle (upper arm).
Clinical Results
FDA Approval
The FDA approval of Menveo was based on immunogenicity studies among subjects aged 11 to 55 years where efficay was inferred from the demonstration of non-inferiority of the serum bactericidal antibody responses to those of Menactra. A a randomized, multicenter, active controlled clinical trial conducted in the U.S. enrolled 3539 adolescent (11 to 18 years of age) and adult (19 to 55 years of age) subjects. The subjects were randomized to receive a dose of Menveo or Menactra. Sera were obtained both before vaccination and 28 days after vaccination. The primary effectiveness endpoints of the study were hSBA seroresponse rates to each serogroup 28 days after vaccination. The non-inferiority of Menveo to Menactra was demonstrated for all four serogroups using the primary endpoint (hSBA seroresponse) in both age populations.
","Side Effects
Adverse events associated with the use of Menveo may include, but are not limited to, the following:
pain at the injection site
headache
myalgia
malaise
nausea
",,"Mechanism of Action
Menveo is a quadrivalent conjugated vaccine containing the Neisseria meningitidis serogroups A, C, Y and W-135. The presence of serum bactericidal antibodies protects against invasive meningococcal disease. Vaccination with Menveo leads to the production of bactericidal antibodies directed against the capsular polysaccharides of serogroups A, C, Y and W-135.
"
Meningitis,Merrem I.V. (meropenem),"General Information
Merrem I.V. has been recommended for use in treating adults and children with certain serious bacterial infections. Merrem is indicated for the treatment of complicated intra-abdominal infections in adults and pediatric subjects and for the treatment of bacterial meningitis in pediatric subjects.
Merrem is the first carbapenem antibiotic available in the United States that can be used in children and does not need to be administered in combination with an enzyme inhibitor to prevent its renal breakdown. Merrem is a potent antibiotic with activity against many different bacteria, including some that are resistant to other antibiotics.
Merrem can be administered by intravenous infusion or intravenous bolus injection.
","Side Effects
Merrem is well tolerated at high doses and has been shown to have a low incidence of adverse events. Systemic adverse events reported in studies with Merrem were typical of those seen with other intravenous antibiotics and included diarrhea, nausea, vomiting, and headache.",,
